rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,stim,noise,action,scramble,communicative,trial_number,index,workerId,interview_date,response,confidence
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,150,420274,0.0-8.0-0.33,stim/test/noi005_act05_scr0_con0_tri001.mp4,5,5,0,0,1,,,,,
null,,null,video-keyboard-response,151,426478,0.0-8.0-1.33,stim/test/noi005_act05_scr0_con0_tri001.mp4,5,5,0,0,1,,,,,
2744.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,152,429223,0.0-8.0-2.33,stim/test/noi005_act05_scr0_con0_tri001.mp4,5,5,0,0,1,34,A11F3MA5FWH6SJ,10/03/2023,yes,
351.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,153,429575,0.0-8.0-3.33,stim/test/noi005_act05_scr0_con0_tri001.mp4,5,5,0,0,1,34,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,154,430590,0.0-8.0-0.34,stim/test/noi010_act08_scr1_con0_tri009.mp4,10,8,1,0,9,,,,,
null,,null,video-keyboard-response,155,436316,0.0-8.0-1.34,stim/test/noi010_act08_scr1_con0_tri009.mp4,10,8,1,0,9,,,,,
603.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,156,436919,0.0-8.0-2.34,stim/test/noi010_act08_scr1_con0_tri009.mp4,10,8,1,0,9,35,A11F3MA5FWH6SJ,10/03/2023,no,
519.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,157,437439,0.0-8.0-3.34,stim/test/noi010_act08_scr1_con0_tri009.mp4,10,8,1,0,9,35,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,158,438442,0.0-8.0-0.35,stim/test/noi010_act08_scr1_con1_tri030.mp4,10,8,1,1,30,,,,,
null,,null,video-keyboard-response,159,444161,0.0-8.0-1.35,stim/test/noi010_act08_scr1_con1_tri030.mp4,10,8,1,1,30,,,,,
437.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,160,444600,0.0-8.0-2.35,stim/test/noi010_act08_scr1_con1_tri030.mp4,10,8,1,1,30,36,A11F3MA5FWH6SJ,10/03/2023,no,
1112.1,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,161,445712,0.0-8.0-3.35,stim/test/noi010_act08_scr1_con1_tri030.mp4,10,8,1,1,30,36,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,162,446715,0.0-8.0-0.36,stim/test/noi020_act01_scr1_con0_tri039.mp4,20,1,1,0,39,,,,,
null,,null,video-keyboard-response,163,451870,0.0-8.0-1.36,stim/test/noi020_act01_scr1_con0_tri039.mp4,20,1,1,0,39,,,,,
825.6,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,164,452696,0.0-8.0-2.36,stim/test/noi020_act01_scr1_con0_tri039.mp4,20,1,1,0,39,37,A11F3MA5FWH6SJ,10/03/2023,no,
1197.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,165,453895,0.0-8.0-3.36,stim/test/noi020_act01_scr1_con0_tri039.mp4,20,1,1,0,39,37,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,166,454910,0.0-8.0-0.37,stim/test/noi010_act03_scr1_con1_tri003.mp4,10,3,1,1,3,,,,,
null,,null,video-keyboard-response,167,460636,0.0-8.0-1.37,stim/test/noi010_act03_scr1_con1_tri003.mp4,10,3,1,1,3,,,,,
459,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,168,461096,0.0-8.0-2.37,stim/test/noi010_act03_scr1_con1_tri003.mp4,10,3,1,1,3,38,A11F3MA5FWH6SJ,10/03/2023,no,
736,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,169,461832,0.0-8.0-3.37,stim/test/noi010_act03_scr1_con1_tri003.mp4,10,3,1,1,3,38,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,170,462841,0.0-8.0-0.38,stim/test/noi010_act10_scr1_con0_tri013.mp4,10,10,1,0,13,,,,,
null,,null,video-keyboard-response,171,469041,0.0-8.0-1.38,stim/test/noi010_act10_scr1_con0_tri013.mp4,10,10,1,0,13,,,,,
990.8,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,172,470032,0.0-8.0-2.38,stim/test/noi010_act10_scr1_con0_tri013.mp4,10,10,1,0,13,39,A11F3MA5FWH6SJ,10/03/2023,no,
1022.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,173,471056,0.0-8.0-3.38,stim/test/noi010_act10_scr1_con0_tri013.mp4,10,10,1,0,13,39,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,174,472059,0.0-8.0-0.39,stim/test/noi020_act10_scr1_con0_tri055.mp4,20,10,1,0,55,,,,,
null,,null,video-keyboard-response,175,478257,0.0-8.0-1.39,stim/test/noi020_act10_scr1_con0_tri055.mp4,20,10,1,0,55,,,,,
1789.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,176,480048,0.0-8.0-2.39,stim/test/noi020_act10_scr1_con0_tri055.mp4,20,10,1,0,55,40,A11F3MA5FWH6SJ,10/03/2023,no,
599.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",50,html-keyboard-response,177,480648,0.0-8.0-3.39,stim/test/noi020_act10_scr1_con0_tri055.mp4,20,10,1,0,55,40,A11F3MA5FWH6SJ,10/03/2023,,2
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,178,481651,0.0-8.0-0.40,stim/test/noi005_act08_scr0_con1_tri010.mp4,5,8,0,1,10,,,,,
null,,null,video-keyboard-response,179,487378,0.0-8.0-1.40,stim/test/noi005_act08_scr0_con1_tri010.mp4,5,8,0,1,10,,,,,
4173.3,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,180,491552,0.0-8.0-2.40,stim/test/noi005_act08_scr0_con1_tri010.mp4,5,8,0,1,10,41,A11F3MA5FWH6SJ,10/03/2023,no,
831.6,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,181,492384,0.0-8.0-3.40,stim/test/noi005_act08_scr0_con1_tri010.mp4,5,8,0,1,10,41,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,182,493389,0.0-8.0-0.41,stim/test/noi010_act05_scr1_con1_tri007.mp4,10,5,1,1,7,,,,,
null,,null,video-keyboard-response,183,499595,0.0-8.0-1.41,stim/test/noi010_act05_scr1_con1_tri007.mp4,10,5,1,1,7,,,,,
341.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,184,499937,0.0-8.0-2.41,stim/test/noi010_act05_scr1_con1_tri007.mp4,10,5,1,1,7,42,A11F3MA5FWH6SJ,10/03/2023,no,
1030.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,185,500968,0.0-8.0-3.41,stim/test/noi010_act05_scr1_con1_tri007.mp4,10,5,1,1,7,42,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,186,501971,0.0-8.0-0.42,stim/test/noi010_act08_scr0_con0_tri019.mp4,10,8,0,0,19,,,,,
null,,null,video-keyboard-response,187,507695,0.0-8.0-1.42,stim/test/noi010_act08_scr0_con0_tri019.mp4,10,8,0,0,19,,,,,
889.1,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,188,508584,0.0-8.0-2.42,stim/test/noi010_act08_scr0_con0_tri019.mp4,10,8,0,0,19,43,A11F3MA5FWH6SJ,10/03/2023,no,
948.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,189,509534,0.0-8.0-3.42,stim/test/noi010_act08_scr0_con0_tri019.mp4,10,8,0,0,19,43,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,190,510543,0.0-8.0-0.43,stim/test/noi020_act05_scr0_con0_tri021.mp4,20,5,0,0,21,,,,,
null,,null,video-keyboard-response,191,516745,0.0-8.0-1.43,stim/test/noi020_act05_scr0_con0_tri021.mp4,20,5,0,0,21,,,,,
415.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,192,517160,0.0-8.0-2.43,stim/test/noi020_act05_scr0_con0_tri021.mp4,20,5,0,0,21,44,A11F3MA5FWH6SJ,10/03/2023,no,
1103.7,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,193,518265,0.0-8.0-3.43,stim/test/noi020_act05_scr0_con0_tri021.mp4,20,5,0,0,21,44,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,194,519281,0.0-8.0-0.44,stim/test/noi005_act05_scr0_con1_tri005.mp4,5,5,0,1,5,,,,,
null,,null,video-keyboard-response,195,525482,0.0-8.0-1.44,stim/test/noi005_act05_scr0_con1_tri005.mp4,5,5,0,1,5,,,,,
869.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",74,html-keyboard-response,196,526352,0.0-8.0-2.44,stim/test/noi005_act05_scr0_con1_tri005.mp4,5,5,0,1,5,45,A11F3MA5FWH6SJ,10/03/2023,yes,
311.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",53,html-keyboard-response,197,526664,0.0-8.0-3.44,stim/test/noi005_act05_scr0_con1_tri005.mp4,5,5,0,1,5,45,A11F3MA5FWH6SJ,10/03/2023,,5
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,198,527670,0.0-8.0-0.45,stim/test/noi005_act10_scr1_con1_tri012.mp4,5,10,1,1,12,,,,,
null,,null,video-keyboard-response,199,533874,0.0-8.0-1.45,stim/test/noi005_act10_scr1_con1_tri012.mp4,5,10,1,1,12,,,,,
549.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,200,534424,0.0-8.0-2.45,stim/test/noi005_act10_scr1_con1_tri012.mp4,5,10,1,1,12,46,A11F3MA5FWH6SJ,10/03/2023,no,
830.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",51,html-keyboard-response,201,535254,0.0-8.0-3.45,stim/test/noi005_act10_scr1_con1_tri012.mp4,5,10,1,1,12,46,A11F3MA5FWH6SJ,10/03/2023,,3
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,202,536270,0.0-8.0-0.46,stim/test/noi005_act06_scr1_con1_tri013.mp4,5,6,1,1,13,,,,,
null,,null,video-keyboard-response,203,541428,0.0-8.0-1.46,stim/test/noi005_act06_scr1_con1_tri013.mp4,5,6,1,1,13,,,,,
331.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,204,541760,0.0-8.0-2.46,stim/test/noi005_act06_scr1_con1_tri013.mp4,5,6,1,1,13,47,A11F3MA5FWH6SJ,10/03/2023,no,
1310.9,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,205,543072,0.0-8.0-3.46,stim/test/noi005_act06_scr1_con1_tri013.mp4,5,6,1,1,13,47,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,206,544073,0.0-8.0-0.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,,,,,
null,,null,video-keyboard-response,207,550269,0.0-8.0-1.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,,,,,
665.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,208,550936,0.0-8.0-2.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,48,A11F3MA5FWH6SJ,10/03/2023,no,
1790.8,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,209,552727,0.0-8.0-3.47,stim/test/noi010_act05_scr0_con0_tri006.mp4,10,5,0,0,6,48,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,210,553744,0.0-8.0-0.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,,,,,
null,,null,video-keyboard-response,211,559478,0.0-8.0-1.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,,,,,
410.2,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,212,559888,0.0-8.0-2.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,49,A11F3MA5FWH6SJ,10/03/2023,no,
1046.2,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,213,560935,0.0-8.0-3.48,stim/test/noi005_act03_scr0_con0_tri056.mp4,5,3,0,0,56,49,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,214,561937,0.0-8.0-0.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,,,,,
null,,null,video-keyboard-response,215,567661,0.0-8.0-1.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,,,,,
841.5,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,216,568503,0.0-8.0-2.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,50,A11F3MA5FWH6SJ,10/03/2023,no,
3271.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,217,571775,0.0-8.0-3.49,stim/test/noi020_act03_scr0_con0_tri100.mp4,20,3,0,0,100,50,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,218,572776,0.0-8.0-0.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,,,,,
null,,null,video-keyboard-response,219,578503,0.0-8.0-1.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,,,,,
648.7,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,220,579152,0.0-8.0-2.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,51,A11F3MA5FWH6SJ,10/03/2023,no,
621.3,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,221,579774,0.0-8.0-3.50,stim/test/noi005_act03_scr1_con1_tri027.mp4,5,3,1,1,27,51,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,222,580784,0.0-8.0-0.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,,,,,
null,,null,video-keyboard-response,223,585949,0.0-8.0-1.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,,,,,
417.9,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,224,586367,0.0-8.0-2.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,52,A11F3MA5FWH6SJ,10/03/2023,no,
1040.4,"<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>",52,html-keyboard-response,225,587408,0.0-8.0-3.51,stim/test/noi020_act06_scr1_con1_tri082.mp4,20,6,1,1,82,52,A11F3MA5FWH6SJ,10/03/2023,,4
null,"<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>",null,html-keyboard-response,226,588412,0.0-8.0-0.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,,,,,
null,,null,video-keyboard-response,227,593565,0.0-8.0-1.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,,,,,
866.3,"<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>",70,html-keyboard-response,228,594432,0.0-8.0-2.52,stim/test/noi010_act06_scr0_con0_tri076.mp4,10,6,0,0,76,53,A11F3MA5FWH6SJ,10/03/2023,no,
