"rt","stimulus","key_press","trial_type","trial_index","time_elapsed","internal_node_id","stim","noise","action","scramble","communicative","trial_number","index","workerId","response"
"823.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","229","627252","0.0-8.0-3.52","stim/test/noi005_act10_scr1_con1_tri012.mp4","005","10","1","1","012","53","A2PR7FI9TP8XLD","4"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","230","628259","0.0-8.0-0.53","stim/test/noi020_act01_scr1_con1_tri029.mp4","020","01","1","1","029","","",""
"null","","null","video-keyboard-response","231","633392","0.0-8.0-1.53","stim/test/noi020_act01_scr1_con1_tri029.mp4","020","01","1","1","029","","",""
"1255.8999999910593","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","232","634648","0.0-8.0-2.53","stim/test/noi020_act01_scr1_con1_tri029.mp4","020","01","1","1","029","54","A2PR7FI9TP8XLD","no"
"940.5999999940395","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","233","635589","0.0-8.0-3.53","stim/test/noi020_act01_scr1_con1_tri029.mp4","020","01","1","1","029","54","A2PR7FI9TP8XLD","5"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","234","636594","0.0-8.0-0.54","stim/test/noi005_act05_scr1_con1_tri009.mp4","005","05","1","1","009","","",""
"null","","null","video-keyboard-response","235","642773","0.0-8.0-1.54","stim/test/noi005_act05_scr1_con1_tri009.mp4","005","05","1","1","009","","",""
"409","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","236","643182","0.0-8.0-2.54","stim/test/noi005_act05_scr1_con1_tri009.mp4","005","05","1","1","009","55","A2PR7FI9TP8XLD","no"
"1162.2000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","237","644345","0.0-8.0-3.54","stim/test/noi005_act05_scr1_con1_tri009.mp4","005","05","1","1","009","55","A2PR7FI9TP8XLD","5"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","238","645355","0.0-8.0-0.55","stim/test/noi020_act06_scr1_con1_tri082.mp4","020","06","1","1","082","","",""
"null","","null","video-keyboard-response","239","650488","0.0-8.0-1.55","stim/test/noi020_act06_scr1_con1_tri082.mp4","020","06","1","1","082","","",""
"1138.2999999970198","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","240","651627","0.0-8.0-2.55","stim/test/noi020_act06_scr1_con1_tri082.mp4","020","06","1","1","082","56","A2PR7FI9TP8XLD","no"
"807.8000000119209","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","241","652435","0.0-8.0-3.55","stim/test/noi020_act06_scr1_con1_tri082.mp4","020","06","1","1","082","56","A2PR7FI9TP8XLD","5"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","242","653440","0.0-8.0-0.56","stim/test/noi020_act01_scr0_con1_tri008.mp4","020","01","0","1","008","","",""
"null","","null","video-keyboard-response","243","658569","0.0-8.0-1.56","stim/test/noi020_act01_scr0_con1_tri008.mp4","020","01","0","1","008","","",""
"631.6000000089407","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","244","659201","0.0-8.0-2.56","stim/test/noi020_act01_scr0_con1_tri008.mp4","020","01","0","1","008","57","A2PR7FI9TP8XLD","no"
"279.79999999701977","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","245","659481","0.0-8.0-3.56","stim/test/noi020_act01_scr0_con1_tri008.mp4","020","01","0","1","008","57","A2PR7FI9TP8XLD","5"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","246","660497","0.0-8.0-0.57","stim/test/noi005_act08_scr1_con0_tri015.mp4","005","08","1","0","015","","",""
"null","","null","video-keyboard-response","247","666200","0.0-8.0-1.57","stim/test/noi005_act08_scr1_con0_tri015.mp4","005","08","1","0","015","","",""
"2063.7000000029802","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","248","668265","0.0-8.0-2.57","stim/test/noi005_act08_scr1_con0_tri015.mp4","005","08","1","0","015","58","A2PR7FI9TP8XLD","no"
"912.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","249","669178","0.0-8.0-3.57","stim/test/noi005_act08_scr1_con0_tri015.mp4","005","08","1","0","015","58","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","250","670182","0.0-8.0-0.58","stim/test/noi010_act03_scr0_con1_tri059.mp4","010","03","0","1","059","","",""
"null","","null","video-keyboard-response","251","675881","0.0-8.0-1.58","stim/test/noi010_act03_scr0_con1_tri059.mp4","010","03","0","1","059","","",""
"1979.5","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","252","677860","0.0-8.0-2.58","stim/test/noi010_act03_scr0_con1_tri059.mp4","010","03","0","1","059","59","A2PR7FI9TP8XLD","no"
"1170.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","253","679031","0.0-8.0-3.58","stim/test/noi010_act03_scr0_con1_tri059.mp4","010","03","0","1","059","59","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","254","680045","0.0-8.0-0.59","stim/test/noi010_act08_scr1_con0_tri009.mp4","010","08","1","0","009","","",""
"null","","null","video-keyboard-response","255","685744","0.0-8.0-1.59","stim/test/noi010_act08_scr1_con0_tri009.mp4","010","08","1","0","009","","",""
"1024.699999988079","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","256","686769","0.0-8.0-2.59","stim/test/noi010_act08_scr1_con0_tri009.mp4","010","08","1","0","009","60","A2PR7FI9TP8XLD","no"
"1198.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","50","html-keyboard-response","257","687968","0.0-8.0-3.59","stim/test/noi010_act08_scr1_con0_tri009.mp4","010","08","1","0","009","60","A2PR7FI9TP8XLD","2"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","258","688980","0.0-8.0-0.60","stim/test/noi005_act06_scr0_con1_tri040.mp4","005","06","0","1","040","","",""
"null","","null","video-keyboard-response","259","694109","0.0-8.0-1.60","stim/test/noi005_act06_scr0_con1_tri040.mp4","005","06","0","1","040","","",""
"2413.800000011921","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","260","696523","0.0-8.0-2.60","stim/test/noi005_act06_scr0_con1_tri040.mp4","005","06","0","1","040","61","A2PR7FI9TP8XLD","no"
"1567.699999988079","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","50","html-keyboard-response","261","698091","0.0-8.0-3.60","stim/test/noi005_act06_scr0_con1_tri040.mp4","005","06","0","1","040","61","A2PR7FI9TP8XLD","2"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","262","699103","0.0-8.0-0.61","stim/test/noi005_act08_scr0_con1_tri010.mp4","005","08","0","1","010","","",""
"null","","null","video-keyboard-response","263","704807","0.0-8.0-1.61","stim/test/noi005_act08_scr0_con1_tri010.mp4","005","08","0","1","010","","",""
"757.9000000059605","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","264","705566","0.0-8.0-2.61","stim/test/noi005_act08_scr0_con1_tri010.mp4","005","08","0","1","010","62","A2PR7FI9TP8XLD","yes"
"1694.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","265","707261","0.0-8.0-3.61","stim/test/noi005_act08_scr0_con1_tri010.mp4","005","08","0","1","010","62","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","266","708267","0.0-8.0-0.62","stim/test/noi020_act05_scr1_con0_tri036.mp4","020","05","1","0","036","","",""
"null","","null","video-keyboard-response","267","714453","0.0-8.0-1.62","stim/test/noi020_act05_scr1_con0_tri036.mp4","020","05","1","0","036","","",""
"763.1000000089407","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","268","715217","0.0-8.0-2.62","stim/test/noi020_act05_scr1_con0_tri036.mp4","020","05","1","0","036","63","A2PR7FI9TP8XLD","no"
"948.2999999970198","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","269","716166","0.0-8.0-3.62","stim/test/noi020_act05_scr1_con0_tri036.mp4","020","05","1","0","036","63","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","270","717168","0.0-8.0-0.63","stim/test/noi010_act10_scr0_con0_tri015.mp4","010","10","0","0","015","","",""
"null","","null","video-keyboard-response","271","723351","0.0-8.0-1.63","stim/test/noi010_act10_scr0_con0_tri015.mp4","010","10","0","0","015","","",""
"1286","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","272","724638","0.0-8.0-2.63","stim/test/noi010_act10_scr0_con0_tri015.mp4","010","10","0","0","015","64","A2PR7FI9TP8XLD","yes"
"910.5","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","273","725549","0.0-8.0-3.63","stim/test/noi010_act10_scr0_con0_tri015.mp4","010","10","0","0","015","64","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","274","726562","0.0-8.0-0.64","stim/test/noi020_act08_scr1_con0_tri079.mp4","020","08","1","0","079","","",""
"null","","null","video-keyboard-response","275","732266","0.0-8.0-1.64","stim/test/noi020_act08_scr1_con0_tri079.mp4","020","08","1","0","079","","",""
"1336","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","276","733602","0.0-8.0-2.64","stim/test/noi020_act08_scr1_con0_tri079.mp4","020","08","1","0","079","65","A2PR7FI9TP8XLD","no"
"1875.4000000059605","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","277","735478","0.0-8.0-3.64","stim/test/noi020_act08_scr1_con0_tri079.mp4","020","08","1","0","079","65","A2PR7FI9TP8XLD","4"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","278","736491","0.0-8.0-0.65","stim/test/noi020_act06_scr0_con0_tri001.mp4","020","06","0","0","001","","",""
"null","","null","video-keyboard-response","279","741632","0.0-8.0-1.65","stim/test/noi020_act06_scr0_con0_tri001.mp4","020","06","0","0","001","","",""
"1106.5","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","280","742739","0.0-8.0-2.65","stim/test/noi020_act06_scr0_con0_tri001.mp4","020","06","0","0","001","66","A2PR7FI9TP8XLD","no"
"780.3000000119209","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","53","html-keyboard-response","281","743520","0.0-8.0-3.65","stim/test/noi020_act06_scr0_con0_tri001.mp4","020","06","0","0","001","66","A2PR7FI9TP8XLD","5"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","282","744522","0.0-8.0-0.66","stim/test/noi020_act03_scr0_con0_tri100.mp4","020","03","0","0","100","","",""
"null","","null","video-keyboard-response","283","750229","0.0-8.0-1.66","stim/test/noi020_act03_scr0_con0_tri100.mp4","020","03","0","0","100","","",""
"1564.2000000029802","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","284","751794","0.0-8.0-2.66","stim/test/noi020_act03_scr0_con0_tri100.mp4","020","03","0","0","100","67","A2PR7FI9TP8XLD","yes"
"2887","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","285","754681","0.0-8.0-3.66","stim/test/noi020_act03_scr0_con0_tri100.mp4","020","03","0","0","100","67","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","286","755695","0.0-8.0-0.67","stim/test/noi020_act10_scr1_con1_tri006.mp4","020","10","1","1","006","","",""
"null","","null","video-keyboard-response","287","761877","0.0-8.0-1.67","stim/test/noi020_act10_scr1_con1_tri006.mp4","020","10","1","1","006","","",""
"3670.9000000059605","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","288","765549","0.0-8.0-2.67","stim/test/noi020_act10_scr1_con1_tri006.mp4","020","10","1","1","006","68","A2PR7FI9TP8XLD","no"
"1454.1000000089407","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","289","767004","0.0-8.0-3.67","stim/test/noi020_act10_scr1_con1_tri006.mp4","020","10","1","1","006","68","A2PR7FI9TP8XLD","3"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","290","768013","0.0-8.0-0.68","stim/test/noi005_act01_scr0_con0_tri079.mp4","005","01","0","0","079","","",""
"null","","null","video-keyboard-response","291","773141","0.0-8.0-1.68","stim/test/noi005_act01_scr0_con0_tri079.mp4","005","01","0","0","079","","",""
"2407.8999999910593","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","292","775550","0.0-8.0-2.68","stim/test/noi005_act01_scr0_con0_tri079.mp4","005","01","0","0","079","69","A2PR7FI9TP8XLD","no"
"1009.1999999880791","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","293","776559","0.0-8.0-3.68","stim/test/noi005_act01_scr0_con0_tri079.mp4","005","01","0","0","079","69","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","294","777570","0.0-8.0-0.69","stim/test/noi020_act08_scr1_con1_tri016.mp4","020","08","1","1","016","","",""
"null","","null","video-keyboard-response","295","783272","0.0-8.0-1.69","stim/test/noi020_act08_scr1_con1_tri016.mp4","020","08","1","1","016","","",""
"1936.4000000059605","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","70","html-keyboard-response","296","785209","0.0-8.0-2.69","stim/test/noi020_act08_scr1_con1_tri016.mp4","020","08","1","1","016","70","A2PR7FI9TP8XLD","no"
"1025.7000000029802","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","51","html-keyboard-response","297","786235","0.0-8.0-3.69","stim/test/noi020_act08_scr1_con1_tri016.mp4","020","08","1","1","016","70","A2PR7FI9TP8XLD","3"
"null","<div id=""left-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 40%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","298","787238","0.0-8.0-0.70","stim/test/noi010_act08_scr0_con0_tri019.mp4","010","08","0","0","019","","",""
"null","","null","video-keyboard-response","299","792952","0.0-8.0-1.70","stim/test/noi010_act08_scr0_con0_tri019.mp4","010","08","0","0","019","","",""
"1241.1000000089407","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","300","794194","0.0-8.0-2.70","stim/test/noi010_act08_scr0_con0_tri019.mp4","010","08","0","0","019","71","A2PR7FI9TP8XLD","yes"
"949.3000000119209","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","301","795144","0.0-8.0-3.70","stim/test/noi010_act08_scr0_con0_tri019.mp4","010","08","0","0","019","71","A2PR7FI9TP8XLD","4"
"null","<div id=""right-fixation"" style=""font-size: 60px; color: white; position: absolute; left: 60%; top: 50%; transform: translate(-50%, -50%);"">+</div>","null","html-keyboard-response","302","796157","0.0-8.0-0.71","stim/test/noi005_act03_scr0_con0_tri056.mp4","005","03","0","0","056","","",""
"null","","null","video-keyboard-response","303","801867","0.0-8.0-1.71","stim/test/noi005_act03_scr0_con0_tri056.mp4","005","03","0","0","056","","",""
"2290.800000011921","<div style=""font-size:24px; color:white;"">Did you see a second person in the moving dots?</div><p style=""font-size:24px;""> <i> Press ""F"" for No or ""J"" for Yes. </i> </p>","74","html-keyboard-response","304","804159","0.0-8.0-2.71","stim/test/noi005_act03_scr0_con0_tri056.mp4","005","03","0","0","056","72","A2PR7FI9TP8XLD","yes"
"961.5999999940395","<div style=""font-size:24px; color:white;"">How confident are you? (from 1 to 5)</div><p style=""font-size:24px;""> <i> 1 = Not confident at all, 5 = Very confident. </i> </p>","52","html-keyboard-response","305","805121","0.0-8.0-3.71","stim/test/noi005_act03_scr0_con0_tri056.mp4","005","03","0","0","056","72","A2PR7FI9TP8XLD","4"
"null","<p style='color:white;'>Data saving...</p><div class=""sk-cube-grid""><div class=""sk-cube sk-cube1""></div><div class=""sk-cube sk-cube2""></div><div class=""sk-cube sk-cube3""></div><div class=""sk-cube sk-cube4""></div><div class=""sk-cube sk-cube5""></div><div class=""sk-cube sk-cube6""></div><div class=""sk-cube sk-cube7""></div><div class=""sk-cube sk-cube8""></div><div class=""sk-cube sk-cube9""></div></div><p style='color:white;'>Do not close this window until the text dissapears.</p>","null","html-keyboard-response","306","810132","0.0-9.0","","","","","","","","",""
